epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,932.661,1.77112,2.07662,1.78959,0.10814,0.42857,0.16104,0.04138,2.60869,2.82083,3.06203,0.00123094,0.00123094,0.00123094
44,957.656,1.79428,2.09456,1.80689,0.1461,0.3305,0.098,0.03377,2.25147,3.56058,2.77477,0.00122622,0.00122622,0.00122622
45,978.82,1.78162,2.10193,1.78827,0.42641,0.28571,0.27352,0.07055,2.41169,2.6463,2.84004,0.00122151,0.00122151,0.00122151
46,1010.99,1.77156,2.11931,1.8089,0.1326,0.64286,0.10328,0.0261,2.72091,2.82665,3.12502,0.00121679,0.00121679,0.00121679
47,1033.28,1.76706,2.07052,1.787,0.21693,0.42857,0.19347,0.06577,2.27743,3.29072,2.71231,0.00121208,0.00121208,0.00121208
48,1060.09,1.76438,2.06958,1.80436,0.13046,0.28571,0.12662,0.04056,2.26304,4.8459,2.72574,0.00120736,0.00120736,0.00120736
49,1081.88,1.76811,2.07324,1.79239,0.22559,0.28571,0.20802,0.04579,2.47346,3.06267,2.8381,0.00120265,0.00120265,0.00120265
50,1103.33,1.72864,2.05568,1.75938,0.34862,0.14286,0.17906,0.03082,2.68725,3.04569,3.20812,0.00119793,0.00119793,0.00119793
51,1124.63,1.70948,2.0028,1.73937,0.14353,0.28571,0.13657,0.04114,2.54917,3.12536,3.14572,0.00119322,0.00119322,0.00119322
52,1150.18,1.71434,2.03837,1.74478,0.0998,0.21429,0.14218,0.05432,2.29209,4.12439,2.88368,0.0011885,0.0011885,0.0011885
53,1171.94,1.72785,2.02304,1.75189,0.28379,0.14286,0.17315,0.06754,2.37693,2.74849,2.92861,0.00118378,0.00118378,0.00118378
54,1193.81,1.67613,1.9316,1.72052,0.23401,0.28571,0.12728,0.03344,2.42289,3.12577,2.84192,0.00117907,0.00117907,0.00117907
55,1214.77,1.7039,1.95479,1.71601,0.11674,0.28571,0.06401,0.02044,2.46683,3.17407,2.87402,0.00117435,0.00117435,0.00117435
56,1235.74,1.70572,1.95171,1.73351,0.22179,0.42857,0.22736,0.05685,2.22795,3.64115,2.78419,0.00116964,0.00116964,0.00116964
57,1257.18,1.69807,1.97677,1.75143,0.32589,0.28571,0.25622,0.1041,2.12163,2.89988,2.79794,0.00116492,0.00116492,0.00116492
58,1279.2,1.69863,1.98043,1.73872,0.14424,0.42857,0.12658,0.04083,2.38581,2.81322,2.94139,0.00116021,0.00116021,0.00116021
59,1300.59,1.66662,1.89442,1.71183,0.29051,0.28571,0.15666,0.05419,2.13755,4.42113,2.66222,0.00115549,0.00115549,0.00115549
60,1321.52,1.70026,1.90068,1.73051,0.23648,0.21429,0.11905,0.04516,2.40793,3.09985,3.0554,0.00115077,0.00115077,0.00115077
61,1342.78,1.68679,1.87056,1.7084,0.18219,0.35714,0.19258,0.08498,2.30946,3.01562,2.95792,0.00114606,0.00114606,0.00114606
62,1364.19,1.68148,1.88173,1.71642,0.15368,0.40253,0.11525,0.03176,2.47583,3.05498,3.13798,0.00114134,0.00114134,0.00114134
63,1385.39,1.66935,1.86066,1.72849,0.26181,0.21429,0.23188,0.09294,2.45772,2.75079,2.95315,0.00113663,0.00113663,0.00113663
64,1408.76,1.64489,1.84889,1.69274,0.27894,0.30484,0.19343,0.05632,2.29815,2.96757,2.948,0.00113191,0.00113191,0.00113191
65,1430.33,1.65325,1.8635,1.69949,0.25204,0.42857,0.19381,0.07236,2.30404,2.84738,2.77791,0.0011272,0.0011272,0.0011272
66,1451.59,1.64446,1.83249,1.68742,0.26829,0.5,0.3374,0.12006,2.32583,2.68434,2.96831,0.00112248,0.00112248,0.00112248
67,1478.65,1.65823,1.85709,1.69997,0.19619,0.55816,0.21901,0.06514,2.23691,3.56942,2.8144,0.00111776,0.00111776,0.00111776
68,1500.64,1.63946,1.8058,1.67217,0.24684,0.57143,0.24652,0.07342,2.42243,2.82308,3.05863,0.00111305,0.00111305,0.00111305
69,1521.94,1.63041,1.80754,1.66621,0.15463,0.53606,0.19889,0.07461,2.34248,2.64055,2.8979,0.00110833,0.00110833,0.00110833
70,1543.06,1.6374,1.79755,1.67859,0.22262,0.57276,0.24166,0.09582,2.1942,2.15175,2.68227,0.00110362,0.00110362,0.00110362
71,1564.49,1.64363,1.82907,1.67768,0.25353,0.35714,0.267,0.08777,2.27405,2.62162,2.82392,0.0010989,0.0010989,0.0010989
72,1585.65,1.61165,1.78679,1.63838,0.20636,0.5,0.23443,0.04395,2.54827,2.81192,3.08604,0.00109419,0.00109419,0.00109419
73,1611.17,1.63429,1.74458,1.67562,0.33245,0.56926,0.22523,0.07247,2.35221,2.92064,2.9903,0.00108947,0.00108947,0.00108947
74,1632.77,1.59013,1.72418,1.63949,0.28654,0.64286,0.2581,0.09454,2.27069,2.64602,2.97625,0.00108475,0.00108475,0.00108475
75,1658.58,1.63878,1.74718,1.66954,0.32567,0.71429,0.44665,0.11867,2.31756,2.41307,2.88095,0.00108004,0.00108004,0.00108004
76,1680.41,1.61173,1.75008,1.64347,0.23223,0.71429,0.29891,0.12028,2.25248,2.57056,2.82795,0.00107532,0.00107532,0.00107532
77,1702.59,1.59853,1.73384,1.63635,0.53019,0.56469,0.53376,0.15883,2.18564,2.4231,2.73854,0.00107061,0.00107061,0.00107061
78,1724.61,1.61101,1.70181,1.6313,0.47752,0.28571,0.27887,0.104,2.38368,2.69416,2.79754,0.00106589,0.00106589,0.00106589
79,1745.69,1.61137,1.73691,1.67258,0.79288,0.27555,0.34702,0.09252,2.58294,2.60272,3.1219,0.00106118,0.00106118,0.00106118
80,1766.89,1.62585,1.74244,1.6772,0.37019,0.28571,0.26756,0.08335,2.32546,2.56692,2.90955,0.00105646,0.00105646,0.00105646
81,1788.29,1.57386,1.65063,1.62391,0.27796,0.57143,0.37392,0.1352,2.23758,2.89346,2.85649,0.00105174,0.00105174,0.00105174
82,1809.23,1.59363,1.65516,1.64097,0.23496,0.5,0.21725,0.0647,2.43156,2.42328,3.10284,0.00104703,0.00104703,0.00104703
83,1830.51,1.57752,1.66623,1.6148,0.29975,0.64286,0.26226,0.06217,2.51839,2.35073,3.14132,0.00104231,0.00104231,0.00104231
84,1851.55,1.59343,1.70202,1.63876,0.69392,0.28571,0.36833,0.13008,2.26874,2.3994,3.02265,0.0010376,0.0010376,0.0010376
85,1873.01,1.56691,1.68221,1.6312,0.72096,0.57143,0.58876,0.14496,2.09707,3.18456,2.78784,0.00103288,0.00103288,0.00103288
86,1894.51,1.55832,1.62407,1.60967,0.5071,0.44177,0.48786,0.11068,2.28732,2.31706,3.0328,0.00102817,0.00102817,0.00102817
87,1915.62,1.59917,1.59653,1.6486,0.31039,0.35714,0.30555,0.09681,2.3008,2.56293,3.0135,0.00102345,0.00102345,0.00102345
88,1936.81,1.54587,1.57684,1.57694,0.13358,0.42857,0.10018,0.03323,2.44461,2.94152,3.02221,0.00101873,0.00101873,0.00101873
89,1957.76,1.55824,1.61082,1.59452,0.82767,0.34501,0.4524,0.13385,2.29907,2.35627,3.03627,0.00101402,0.00101402,0.00101402
90,1979.09,1.58404,1.63575,1.58681,0.23315,0.42857,0.19957,0.06545,2.33505,2.60504,2.9433,0.0010093,0.0010093,0.0010093
91,2000.46,1.59164,1.61958,1.60643,0.48825,0.35714,0.38512,0.11384,2.3362,2.24912,2.87385,0.00100459,0.00100459,0.00100459
92,2021.62,1.55343,1.6207,1.58808,0.41703,0.35714,0.38309,0.14033,2.2125,2.52031,2.87331,0.000999871,0.000999871,0.000999871
93,2042.74,1.54564,1.5869,1.58792,0.37112,0.46469,0.39778,0.12106,2.19662,2.83725,2.87091,0.000995156,0.000995156,0.000995156
94,2063.75,1.55282,1.64063,1.6147,0.21258,0.5,0.31572,0.08826,2.27962,2.16653,2.90594,0.00099044,0.00099044,0.00099044
95,2084.97,1.54849,1.59029,1.59347,0.37297,0.35714,0.24143,0.06877,2.20366,2.47312,2.81446,0.000985724,0.000985724,0.000985724
96,2106.29,1.52026,1.51806,1.55557,0.55701,0.28571,0.35777,0.10082,2.2455,2.52108,2.95986,0.000981008,0.000981008,0.000981008
97,2127.57,1.50741,1.56216,1.54808,0.26433,0.42857,0.21802,0.06645,2.25303,2.44438,3,0.000976293,0.000976293,0.000976293
98,2153.93,1.49995,1.52085,1.54459,0.18755,0.42857,0.25823,0.08859,2.10502,2.74138,2.78169,0.000971577,0.000971577,0.000971577
99,2175.59,1.53951,1.52947,1.58473,0.26516,0.64286,0.30113,0.11994,2.04173,2.32075,2.84756,0.000966861,0.000966861,0.000966861
100,2196.49,1.50589,1.46592,1.54026,0.46939,0.78571,0.58013,0.16385,2.24008,2.18352,3.01959,0.000962146,0.000962146,0.000962146
101,2221.95,1.4964,1.52935,1.541,0.27075,0.45148,0.26835,0.12558,2.35017,2.56712,3.07598,0.00095743,0.00095743,0.00095743
102,2243.81,1.4638,1.4843,1.51934,0.38143,0.42857,0.37786,0.12867,2.25041,2.44477,2.99632,0.000952714,0.000952714,0.000952714
103,2265.2,1.50273,1.48429,1.5544,0.63308,0.5,0.43095,0.13085,2.35635,2.66294,3.01244,0.000947999,0.000947999,0.000947999
104,2285.95,1.50614,1.49039,1.55176,0.39939,0.57143,0.3848,0.19307,1.99614,2.48471,2.76073,0.000943283,0.000943283,0.000943283
105,2311.9,1.48156,1.43737,1.54078,0.45066,0.70359,0.41615,0.14561,2.22556,2.18472,2.99403,0.000938567,0.000938567,0.000938567
106,2333.84,1.47598,1.48314,1.52005,0.20911,0.5,0.22914,0.0773,2.41685,2.52506,3.05732,0.000933851,0.000933851,0.000933851
107,2355.3,1.47134,1.46808,1.53315,0.32601,0.5,0.32778,0.12119,2.15447,2.44053,2.77426,0.000929136,0.000929136,0.000929136
108,2379,1.45337,1.43184,1.50956,0.4201,0.5,0.44761,0.13448,2.07798,2.06675,2.70071,0.00092442,0.00092442,0.00092442
109,2400.69,1.50315,1.52472,1.56826,0.79596,0.27994,0.41104,0.14139,2.36635,2.18327,3.23584,0.000919704,0.000919704,0.000919704
110,2422.11,1.47243,1.43141,1.5238,0.28988,0.5,0.2363,0.09609,2.38395,2.46108,3.17613,0.000914989,0.000914989,0.000914989
111,2443.36,1.47189,1.40336,1.51538,0.52722,0.55833,0.46341,0.1206,2.2933,2.21478,3.02054,0.000910273,0.000910273,0.000910273
112,2464.57,1.44631,1.40738,1.4925,0.31997,0.70604,0.42814,0.15532,2.31887,2.16952,3.04053,0.000905557,0.000905557,0.000905557
113,2485.56,1.46065,1.41222,1.49744,0.64076,0.51036,0.56464,0.18326,2.3294,2.1108,3.01239,0.000900842,0.000900842,0.000900842
114,2506.88,1.43878,1.41381,1.49178,0.42661,0.53244,0.40719,0.10557,2.35342,1.99415,2.98487,0.000896126,0.000896126,0.000896126
115,2527.97,1.45061,1.43022,1.49582,0.44573,0.64286,0.40519,0.10332,2.21453,2.39325,2.91279,0.00089141,0.00089141,0.00089141
